Date,Google,Amazon,Tesla,Apple
7/1/2013,441.006683,301.220001,134.279999,64.647141
8/1/2013,420.713654,280.980011,169,69.602859
9/1/2013,435.124939,312.640015,193.369995,68.10714
10/1/2013,511.960205,364.029999,159.940002,74.671425
11/1/2013,526.37146,393.619995,127.279999,79.438568
12/1/2013,556.734009,398.790009,150.429993,80.145714
1/1/2014,586.669312,358.690002,181.410004,71.514282
2/1/2014,603.897217,362.100006,244.809998,75.177139
3/1/2014,555.445007,336.369995,208.449997,76.677139
4/1/2014,523.779968,304.130005,207.889999,84.298569
5/1/2014,556.828247,312.549988,207.770004,90.428574
6/1/2014,572.134094,324.779999,240.059998,92.93
7/1/2014,568.474243,312.98999,223.300003,95.599998
8/1/2014,568.474243,339.040009,269.700012,102.5
9/1/2014,574.202698,322.440002,242.679993,100.75
10/1/2014,556.022705,305.459991,241.699997,108
11/1/2014,538.867004,338.640015,244.520004,118.93
12/1/2014,523.521423,310.350006,222.410004,110.379997
1/1/2015,531.594604,354.529999,203.600006,117.160004
2/1/2015,555.343933,380.160004,203.339996,128.460007
3/1/2015,545.000854,372.100006,188.770004,124.43
4/1/2015,537.340027,421.779999,226.050003,125.150002
5/1/2015,532.109985,429.230011,250.800003,130.279999
6/1/2015,520.51001,434.089996,268.26001,125.43
7/1/2015,625.609985,536.150024,266.149994,121.300003
8/1/2015,637.609985,512.890015,249.059998,112.919998
9/1/2015,608.419983,511.890015,248.399994,110.300003
10/1/2015,710.809998,625.900024,206.929993,119.5
11/1/2015,742.599976,664.799988,230.259995,118.300003
12/1/2015,758.880005,675.890015,240.009995,105.260002
1/1/2016,742.950012,587,191.199997,97.339996
2/1/2016,697.77002,552.52002,191.929993,96.690002
3/1/2016,744.950012,593.640015,229.770004,108.989998
4/1/2016,693.01001,659.590027,240.759995,93.739998
5/1/2016,735.719971,722.789978,223.229996,99.860001
6/1/2016,692.099976,715.619995,212.279999,95.599998
7/1/2016,768.789978,758.809998,234.789993,104.209999
8/1/2016,767.049988,769.159973,212.009995,106.099998
9/1/2016,777.289978,837.309998,204.029999,113.050003
10/1/2016,784.539978,789.820007,197.729996,113.540001
11/1/2016,758.039978,750.570007,189.399994,110.519997
12/1/2016,771.820007,768.659973,213.690002,115.82
1/1/2017,796.789978,823.47998,251.929993,121.349998
2/1/2017,823.210022,845.039978,249.990005,136.990005
3/1/2017,829.559998,886.539978,278.299988,143.660004
4/1/2017,905.960022,924.98999,314.070007,143.649994
5/1/2017,964.859985,994.619995,341.01001,152.759995
6/1/2017,908.72998,968,361.609985,144.020004
7/1/2017,930.5,987.780029,323.470001,148.729996
8/1/2017,939.330017,980.599976,355.899994,164
9/1/2017,959.109985,961.349976,341.100006,154.119995
10/1/2017,1016.640015,1105.280029,331.529999,169.039993
11/1/2017,1021.409973,1176.75,308.850006,171.850006
12/1/2017,1046.400024,1169.469971,311.350006,169.229996
1/1/2018,1169.939941,1450.890015,354.309998,167.429993
2/1/2018,1104.72998,1512.449951,343.059998,178.119995
3/1/2018,1031.790039,1447.339966,266.130005,167.779999
4/1/2018,1017.330017,1566.130005,293.899994,165.259995
5/1/2018,1084.98999,1629.619995,284.730011,186.869995
6/1/2018,1134.790039,1704.859985,344.779999,190.699997
